Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target	Comment
318	KDM5C	#	11114	lysine (K)-specific demethylase 5C	8242	P41229	KDM5C_HUMAN	"ARID PF01388 76-165, JmjC PF02373 501-617, JmjN PF02375 15-48, PHD PF00628 326-374 1187-1250, PLU-1 PF08429 771-1100, Pfam-B_12821 PB012821 1417-1482, zf-C5HC2 PF02928 707-760"	Kdm5c	99781	P41230	KDM5C_MOUSE	"KDM, PHF"	"Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type"	Histone modification erase	Histone methylation	17320160	#	histone	H3K4me3	"H3K4me2, H3K4me1"	#	17320160	"The X-linked mental retardation (XLMR) gene SMCX (JARID1C)=KDM5C, which encodes a JmjC-domain protein, reverses H3K4me3 to di- and mono- but not unmethylated products."
319	KDM5D	#	11115	lysine (K)-specific demethylase 5D	8284	Q9BY66	KDM5D_HUMAN	"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-750"	Kdm5d	99780	Q62240	KDM5D_MOUSE	"KDM, PHF"	"Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type"	Histone modification erase	Histone methylation	17320160	#	histone	"H3K4me3, H3K4me2"	H3K4	#	17320160	"SMCX family members, including SMCY=KDM5D, RBP2, and PLU-1, demethylate H3K4me3."
320	KDM6A	#	12637	lysine (K)-specific demethylase 6A	7403	O15550	KDM6A_HUMAN	"JmjC PF02373 1133-1241, Pfam-B_604 PB000604 631-769, Pfam-B_972 PB000972 771-1109, TPR_1 PF00515 130-163 318-351 352-380, TPR_17 PF13431 272-304, TPR_8 PF13181 205-238"	Kdm6a	1095419	O70546	KDM6A_MOUSE	"KDM, TTC"	"Chromatin-modifying enzymes / K-demethylases, Tetratricopeptide (TTC) repeat domain containing"	Histone modification erase	Histone methylation	17851529	"CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4"	histone	H3K27me2. H3K27me3	H3K27	#	17851529	The JmjC-domain-containing proteins UTX=KDM6A and JMJD3 catalyse demethylation of H3K27me3/2.
321	KDM6B	#	29012	lysine (K)-specific demethylase 6B	23135	O15054	KDM6B_HUMAN	"JmjC PF02373 1377-1485, Pfam-B_5108 PB005108 101-843, Pfam-B_992 PB000992 1-99"	Kdm6b	2448492	Q5NCY0	KDM6B_MOUSE	KDM	Chromatin-modifying enzymes / K-demethylases	Histone modification erase	Histone methylation	17851529	#	histone	H3K27me2. H3K27me4	H3K28	#	17851529	The JmjC-domain-containing proteins UTX=KDM6A and JMJD3=KDM6B catalyse demethylation of H3K27me3/2.
322	KDM7A	#	22224	lysine (K)-specific demethylase 7A	80853	Q6ZMT4	KDM7A_HUMAN	"PHD PF00628 39-88, JmjC PF02373 269-369, Pfam-B_18122 PB018122 381-538, Pfam-B_13686 PB013686 541-639, Pfam-B_1060 PB001060 853-939"	Kdm7a	2443388	Q3UWM4	KDM7A_MOUSE	"KDM, PHF"	"Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type"	Histone modification erase	Histone methylation	20194436	#	histone	"H3K9me2, H3K27me2, H4K20me1"	"H3K9, H3K27, H4K20"	#	20194436	"KDM7 (also known as JHDM1D) is a dual demethylase for H3K9 and H3K27 that functions as an eraser of silencing marks on chromatin during brain development. Specifically binds trimethylated 'Lys-4' of histone H3 (H3K4me3), affecting histone demethylase specificity: in presence of H3K4me3, it has no demethylase activity toward H3K9me2, while it has high activity toward H3K27me2. Demethylates H3K9me2 in absence of H3K4me3. Has activity toward H4K20Me1 only when nucleosome is used as a substrate and when not histone octamer is used as substrate."
323	KDM8	#	25840	lysine (K)-specific demethylase 8	79831	Q8N371	KDM8_HUMAN	Cupin_8 PF13621 192-416	Kdm8	1924285	Q9CXT6	KDM8_MOUSE	KDM	Chromatin-modifying enzymes / K-demethylases	Histone modification erase	Histone methylation	20457893	#	histone	H3K36me2	H3K36	#	20457893	"JMJD5 (now renamed KDM8), a JmjC family member, demethylates H3K36me2 and is required for cell cycle progression."
324	KEAP1	New	23177	kelch-like ECH-associated protein 1	9817	Q14145	KEAP1_HUMAN	"BACK PF07707 184-286, BTB PF00651 67-179, Kelch_1 PF01344 317-359 361-410 412-457 459-504 506-551 553-598"	Keap1	1858732	Q9Z2X8	KEAP1_MOUSE	"KLHL, BTBD"	"Kelch-like, ""BTB/POZ domain containing"""	Chromatin remodelling	#	21920360	#	chromatin	#	#	#	#	Interacts with the NURF Nucleosome Remodeling Factor complex.
325	KMT2A	#	7132	lysine (K)-specific methyltransferase 2A	4297	Q03164	KMT2A_HUMAN	"FYRC PF05965 3666-3749, FYRN PF05964 2023-2073, PHD PF00628 1481-1533 1568-1627, Pfam-B_11202 PB011202 1021-1086, SET PF00856 3840-3945, zf-CXXC PF02008 1147-1194, zf-HC5HC2H PF13771 1900-1978"	Kmt2a	96995	P55200	KMT2A_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	19187761	"MLL-HCF, CHD8, COMPASS-like MLL1,2"	histone	H3K4	H3K4me	#	19187761	"MLL1 SET domain can incorporate methyl groups into unmodified or H3K4me1 substrates, signifying both mono- and dimethylation activity."
326	KMT2B	#	15840	lysine (K)-specific methyltransferase 2B	9757	Q9UMN6	KMT2B_HUMAN	"FYRC PF05965 2411-2494, FYRN PF05964 1732-1782, PHD PF00628 1251-1303 1337-1396, Pfam-B_25060 PB025060 1783-1849, Pfam-B_25524 PB025524 1168-1202, Pfam-B_26440 PB026440 701-839, Pfam-B_27348 PB027348 2191-2289, Pfam-B_3353 PB003353 1981-2079, Pfam-B_6332 PB006332 1401-1479, Pfam-B_85509 PB085509 345-387, SET PF00856 2586-2691, zf-CXXC PF02008 958-1005, zf-HC5HC2H PF13771 1608-1686"	Kmt2b	109565	O08550	KMT2B_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	Histone modification write	Histone methylation	17707229	"Menin-associated_HMT, MLL2/3, COMPASS-like MLL3,4"	histone	H3K4	H3K4me3	#	17707229	MLL (=KMT2B)-containing complexes methylate histone H3 at lysine 4 (H3K4) and have been implicated in the regulation of transcription.
327	KMT2C	#	13726	lysine (K)-specific methyltransferase 2C	58508	Q8NEZ4	KMT2C_HUMAN	"FYRC PF05965 4606-4693, FYRN PF05964 4550-4604, PHD PF00628 390-438 959-1010 1009-1060, Pfam-B_16694 PB016694 2536-2572, Pfam-B_19991 PB019991 1874-1906, Pfam-B_43 PB000043 3044-3095, Pfam-B_49476 PB049476 1-159, SET PF00856 4782-4887, zf-HC5HC2H PF13771 252-331 4429-4507"	Kmt2c	2444959	Q8BRH4	KMT2C_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	20937768	"MLL2/3, COMPASS-like MLL3,4"	histone	H3K4	H3K4me	#	20937768	"In humans, multiple Set1-like HMT complexes with H3K4 HMT activities have been identified. Each of these complexes contains the SET domain-containing homologs of yeast Set1, including human Set1 (hSet1), MLL1 (mixed lineage leukemia 1, also known as MLL, HRX, ALL1, or KMT2A), MLL2 (mixed-lineage leukemia 2, also known as HRX2 or KMT2B), MLL3 (mixed-lineage leukemia 3, also known as HALR or KMT2C), and MLL4 (mixed-lineage leukemia 4, also known as ALR or KMT2D), which carry the enzymatic activity for the associated complexes."
328	KMT2D	#	7133	lysine (K)-specific methyltransferase 2D	8085	O14686	KMT2D_HUMAN	"FYRC PF05965 5236-5323, FYRN PF05964 5180-5234, PHD PF00628 275-323 1379-1429 1429-1477, Pfam-B_26489 PB026489 5016-5050, Pfam-B_29065 PB029065 423-678, Pfam-B_2976 PB002976 1682-1717, Pfam-B_33020 PB033020 3681-3767, SET PF00856 5408-5513, zf-HC5HC2H PF13771 139-218 5059-5137"	Kmt2d	2682319	Q6PDK2	KMT2D_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	20937768	"COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4"	histone	H3K4	H3K4me	#	20937768	"In humans, multiple Set1-like HMT complexes with H3K4 HMT activities have been identified. Each of these complexes contains the SET domain-containing homologs of yeast Set1, including human Set1 (hSet1), MLL1 (mixed lineage leukemia 1, also known as MLL, HRX, ALL1, or KMT2A), MLL2 (mixed-lineage leukemia 2, also known as HRX2 or KMT2B), MLL3 (mixed-lineage leukemia 3, also known as HALR or KMT2C), and MLL4 (mixed-lineage leukemia 4, also known as ALR or KMT2D), which carry the enzymatic activity for the associated complexes."
329	KMT2E	#	18541	lysine (K)-specific methyltransferase 2E	55904	Q8IZD2	KMT2E_HUMAN	"PHD PF00628 120-166, Pfam-B_13611 PB013611 1791-1856, Pfam-B_19470 PB019470 1301-1369, Pfam-B_19601 PB019601 1131-1179, Pfam-B_20626 PB020626 961-1129, Pfam-B_22469 PB022469 871-959, Pfam-B_24586 PB024586 1261-1299, Pfam-B_7010 PB007010 1651-1789, Pfam-B_7713 PB007713 731-869, SET PF00856 342-447"	Kmt2e	1924825	Q3UG20	KMT2E_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	19377461	#	histone	H3K4	"H3K4me1, H3K4me2"	#	19377461	"Nuclear GlcNAcylation of the histone lysine methyltransferase (HKMT), MLL5, by O-GlcNAc transferase facilitates retinoic-acid-induced granulopoiesis in human HL60 promyelocytes through methylation of H3K4."
330	L3MBTL1	#	15905	l(3)mbt-like 1 (Drosophila)	26013	Q9Y468	LMBL1_HUMAN	"MBT PF02820 242-314 349-421 453-525, SAM_1 PF00536 681-745, zf-C2HC PF01530 551-581"	L3mbtl1	2676663	A2A5N8	LMBL1_MOUSE	"ZC2HC, SAMD"	"Zinc fingers, C2HC-type containing, Sterile alpha motif (SAM) domain containing"	Histone modification read	#	18026117	L3MBTL1	histone	"H1BK26, H4K20"	#	#	18026117	Crystal structures of the L3MBTL1 MBT repeats in complex with histone H4 peptides dimethylated on Lys20 (H4K20me2). Only the second of the three MBT repeats can bind mono- and dimethylated histone peptides. Its binding pocket has similarities to that of 53BP1 and is able to recognize the degree of histone lysine methylation.
331	L3MBTL2	#	18594	l(3)mbt-like 2 (Drosophila)	83746	Q969R5	LMBL2_HUMAN	MBT PF02820 214-290 327-395 432-508 540-610	L3mbtl2	2443584	P59178	LMBL2_MOUSE	#	#	Histone modification read	#	19233876	RING2-L3MBTL2	histone	"H3K4, H3K9, H3K27, H4K20"	#	#	19233876	Methylation-state-specific recognition of histones by the MBT repeat protein L3MBTL2.
332	L3MBTL3	#	23035	l(3)mbt-like 3 (Drosophila)	84456	Q96JM7	LMBL3_HUMAN	"MBT PF02820 268-340 375-447 479-548, Pfam-B_29190 PB029190 1-79, SAM_1 PF00536 706-770"	L3mbtl3	2143628	Q8BLB7	LMBL3_MOUSE	SAMD	Sterile alpha motif (SAM) domain containing	Histone modification read	#	23292653	#	histone	H4K20me	#	#	23292653	Binds L3MBTL3 with a similar affinity to H4K20me histone
333	L3MBTL4	#	26677	l(3)mbt-like 4 (Drosophila)	91133	Q8NA19	LMBL4_HUMAN	"MBT PF02820 88-160 196-268 300-371, SAM_1 PF00536 541-605, zf-C2HC PF01530 376-407"	L3mbtl4	2444889	B1B1A0	LMBL4_MOUSE	SAMD	Sterile alpha motif (SAM) domain containing	Histone modification read	#	20698951	#	histone	HKme	#	#	20698951	"The L3MBTL4 protein contains three ""malignant brain tumor"" (MBT) domains. The MBT domain binds methylated histone residues."
334	LAS1L	#	25726	LAS1-like (S. cerevisiae)	81887	Q9Y4W2	LAS1L_HUMAN	"Las1 PF04031 42-188, Pfam-B_28535 PB028535 671-732"	Las1l	1923380	A2BE28	LAS1L_MOUSE	#	#	"Histone modification write cofactor, Histone modification write cofactor"	"Histone methylation, Histone acetylation"	20442285	"CHD8, MLL2/3, MLL4/WBP7"	histone	"H3K4, H3,H4,H2A"	"H3K4me, H3K4me2, H3Ac, H4Ac, H2AAc"	#	15960975	Facultative member of the MLL1/MLL complex.
335	LBR	New	6518	lamin B receptor	3930	Q14739	LBR_HUMAN	"ERG4_ERG24 PF01222 183-615, LBR_tudor PF09465 1-55"	Lbr	2138281	Q3U9G9	LBR_MOUSE	TDRD	Tudor domain containing	#	#	22498752	#	chromatin	#	#	#	#	Anchors the lamina and the heterochromatin to the inner nuclear membrane.
336	LEO1	New	30401	"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	123169	Q8WVC0	LEO1_HUMAN	"Leo1 PF04004 373-537, Pfam-B_17842 PB017842 1-105, Pfam-B_20153 PB020153 171-239, Pfam-B_6431 PB006431 241-309"	Leo1	2685031	Q5XJE5	LEO1_MOUSE	#	#	Histone modification write cofactor	Histone ubiquitination	24038468	#	histone	#	#	#	#	"Part of the PAF1 complex, which may be involved in recruitment of ubiquitination complexes. Important for PAF1 binding to H3."
337	LRWD1	#	21769	leucine-rich repeats and WD repeat domain containing 1	222229	Q9UFC0	LRWD1_HUMAN	"LRR_1 PF00560 48-69, Pfam-B_28625 PB028625 274-344, Pfam-B_39252 PB039252 191-239, WD40 PF00400 382-421"	Lrwd1	1918985	Q8BUI3	LRWD1_MOUSE	WDR	WD repeat domain containing	Chromatin remodelling	#	20932478	#	"histone, DNA"	"H3K9me3, H3K27me3"	#	#	20932478	"A highly conserved, leucine-rich repeats and WD40 repeat domain-containing protein 1 (LRWD1) or ORC-associated (ORCA) in human cells that interacts with ORC and modulates chromatin association of ORC. ORCA colocalizes with ORC and shows similar cell-cycle dynamics. ORCA efficiently recruits ORC to chromatin."
338	MAP3K7	New	6859	mitogen-activated protein kinase kinase kinase 7	6885	O43318	M3K7_HUMAN	"Pfam-B_11880 PB011880 521-569, Pkinase_Tyr PF07714 36-284"	Map3k7	1346877	Q62073	M3K7_MOUSE	MAP3K	Mitogen-activated protein kinase cascade / Kinase kinase kinases	Histone modification write	#	18838386	#	histone	#	#	#	#	A member of the ATAC complex.
339	MAPKAPK3	#	6888	mitogen-activated protein kinase-activated protein kinase 3	7867	Q16644	MAPK3_HUMAN	Pkinase PF00069 44-304	Mapkapk3	2143163	Q3UMW7	MAPK3_MOUSE	#	#	Chromatin remodelling	#	15563468	#	chromatin	#	#	#	15563468	MAPKAP kinase 3pK phosphorylates and regulates chromatin association of the polycomb group protein Bmi1.
340	MASTL	#	19042	microtubule associated serine/threonine kinase-like	84930	Q96GX5	GWL_HUMAN	"Pfam-B_24677 PB024677 271-369, Pfam-B_8409 PB008409 371-489, Pkinase PF00069 35-203 733-835"	Mastl	1914371	Q8C0P0	GWL_MOUSE	#	#	Histone modification write	Histone phosphorylation	20818157	#	histone	"H1, H3"	"H1p, H3p"	#	20818157	Phosphorylates histone protein in vitro; however such activity is unsure in vivo (UniProt).
341	MAX	#	6913	MYC associated factor X	4149	P61244	MAX_HUMAN	HLH PF00010 24-75	Max	96921	P28574	MAX_MOUSE	bHLH	Basic helix-loop-helix proteins	"Histone modification write cofactor, Histone modification write cofactor, TF, TF"	"Histone methylation, Histone acetylation, TF activator, TF repressor"	"18271930, 12004135"	"CHD8, MLL2/3, MLL4/WBP7"	DNA	DNA motif	#	#	"18271930, 12004135"	"Part of a multimeric protein complex that contains E2F6, Mga and Max. The complex contains chromatin modifiers such as a novel histone methyltransferase that modifies lysine 9 of histone H3, HP1gamma, and Polycomb group (PcG) proteins."
342	MAZ	New	6914	MYC-associated zinc finger protein (purine-binding transcription factor)	4150	P56270	MAZ_HUMAN	"zf-C2H2 PF00096 337-360, zf-C2H2_4 PF13894 190-213 366-388, zf-H2C2_2 PF13465 293-318"	Maz	1338823	P56671	MAZ_MOUSE	ZNF	"Zinc fingers, C2H2-type"	Chromatin remodelling	#	21920360	#	chromatin	#	#	#	#	Interacts with the NURF Nucleosome Remodeling Factor complex.
343	MBD1	#	6916	methyl-CpG binding domain protein 1	4152	Q9UIS9	MBD1_HUMAN	"MBD PF01429 1-85, Pfam-B_12306 PB012306 468-526, Pfam-B_9691 PB009691 528-587, zf-CXXC PF02008 168-215 217-262 330-377"	Mbd1	1333811	Q9Z2E2	MBD1_MOUSE	#	#	"Histone modification write cofactor, TF"	"Histone methylation, TF repressor"	15327775	#	DNA	"mCG, DNA motif"	#	#	15327775	"MBD1 recruits SETDB1 to the large subunit of chromatin assembly factor CAF-1 to form an S phase-specific CAF-1/MBD1/SETDB1 complex that facilitates methylation of H3-K9 during replication-coupled chromatin assembly. In the absence of MBD1, H3-K9 methylation is lost at multiple genomic loci and results in activation of p53BP2 gene, normally repressed by MBD1 in HeLa cells. Data suggest a model in which H3-K9 methylation by SETDB1 is dependent on MBD1 and is heritably maintained through DNA replication to support the formation of stable heterochromatin at methylated DNA."
344	MBD2	#	6917	methyl-CpG binding domain protein 2	8932	Q9UBB5	MBD2_HUMAN	"MBD PF01429 145-216, MBD_C PF14048 294-387"	Mbd2	1333813	Q9Z2E1	MBD2_MOUSE	#	#	"Histone modification write cofactor, Histone modification erase cofactor, TF"	"Histone methylation, Histone acetylation, TF repressor"	16415179	"NuRD, MeCP1"	DNA	"mCG, DNA motif"	#	#	16415179	"Wild-type subnuclear distribution of p66alpha and p66beta depends on the presence of MBD2. Both proteins interact with the tails of all octamer histones in vitro, and acetylation of histone tails interferes with p66 binding."
345	MBD3	#	6918	methyl-CpG binding domain protein 3	53615	O95983	MBD3_HUMAN	"MBD PF01429 1-72, MBD_C PF14048 150-243"	Mbd3	1333812	Q9Z2D8	MBD3_MOUSE	#	#	Histone modification erase cofactor	Histone acetylation	12124384	NuRD	histone	#	#	#	12124384	"MBD3 has been identified as a component of the NuRD/Mi2 complex that shows chromatin remodeling and histone deacetylase activities. MBD3 MBD is necessary and sufficient for binding to HDAC1 and MTA2, two components of the NuRD/Mi2 complex. It has been suggested that mCpG-binding-defective MBD3 has evolutionarily conserved its MBD because of the secondary role played by the MBD in protein-protein interactions."
346	MBD4	#	6919	methyl-CpG binding domain protein 4	8930	O95243	MBD4_HUMAN	"HhH-GPD PF00730 461-575, MBD PF01429 76-151, Pfam-B_47325 PB047325 409-460"	Mbd4	1333850	Q9Z2D7	MBD4_MOUSE	#	#	DNA modification	#	10930409	#	DNA	"G:T, G:U"	#	#	10930409	"MED1 functions as a mismatch-specific DNA repair enzyme. MED1 lacks uracil glycosylase activity on single-strand DNA and abasic site lyase activity. The glycosylase activity of MED1 prefers substrates containing a G:T mismatch within methylated or unmethylated CpG sites; since G:T mismatches can originate via deamination of 5-methylcytosine to thymine, MED1 may act as a caretaker of genomic fidelity at CpG sites."
347	MBD5	#	20444	methyl-CpG binding domain protein 5	55777	Q9P267	MBD5_HUMAN	"Pfam-B_1400 PB001400 981-1140, Pfam-B_19258 PB019258 499-567, Pfam-B_41495 PB041495 438-497, Pfam-B_51737 PB051737 1-119, Pfam-B_5417 PB005417 121-219, Pfam-B_7705 PB007705 221-410"	Mbd5	2138934	B1AYB6	MBD5_MOUSE	#	#	Chromatin remodelling	#	20700456	#	chromatin	#	#	#	20700456	MBD5 and MBD6 may contribute to the unique epigenetic machinery of neurons or to the global reorganization of chromatin during spermatogenesis.
348	MBD6	#	20445	methyl-CpG binding domain protein 6	114785	Q96DN6	MBD6_HUMAN	Pfam-B_28044 PB028044 161-209	Mbd6	106378	Q3TY92	MBD6_MOUSE	#	#	Chromatin remodelling	#	20700456	#	chromatin	#	#	#	20700456	MBD5 and MBD6 may contribute to the unique epigenetic machinery of neurons or to the global reorganization of chromatin during spermatogenesis.
349	MBIP	#	20427	MAP3K12 binding inhibitory protein 1	51562	Q9NS73	MBIP1_HUMAN	"Pfam-B_15854 PB015854 191-249, Pfam-B_276 PB000276 251-342"	Mbip	1918320	Q99LQ1	MBIP1_MOUSE	#	#	Histone modification write cofactor	Histone acetylation	19103755	ATAC	histone	#	#	#	19103755	"Novel proteins identified as STAGA/ TFTC subunits, such as ATAC2, DR1, MBIP, WDR5, YEATS2, and ZZZ3/ATAC1."
350	MBTD1	#	19866	mbt domain containing 1	54799	Q05BQ5	MBTD1_HUMAN	"MBT PF02820 183-253 289-360 388-464 496-568, Pfam-B_45320 PB045320 1-59"	Mbtd1	2143977	Q6P5G3	MBTD1_MOUSE	#	#	Polycomb group (PcG) protein	#	19841675	#	histone	"H4K20me1, H4K20me2"	#	#	19841675	"MBTD1, Malignant Brain Tumor domain-containing protein 1, is a PcG protein."
351	MCRS1	#	6960	microspherule protein 1	10445	Q96EZ8	MCRS1_HUMAN	"FHA PF00498 363-436, MCRS_N PF13325 134-331"	Mcrs1	1858420	Q99L90	MCRS1_MOUSE	INO80	INO80 complex subunits	Histone modification write	Histone acetylation	20018852	"Ino80, NSL, CHD8, MLL2/3, MLL4/WBP7"	histone	"H4K5, H4K8, H4K16"	"H4K5ac, H4K8ac, H4K16ac"	#	20018852	"Human MOF (MYST1), a member of the MYST (Moz-Ybf2/Sas3-Sas2-Tip60) family of histone acetyltransferases (HATs), is the human ortholog of the Drosophila males absent on the first (MOF) protein."
352	MDC1	#	21163	mediator of DNA-damage checkpoint 1	9656	Q14676	MDC1_HUMAN	"FHA PF00498 54-124, Pfam-B_1811 PB001811 319-407"	Mdc1	3525201	Q5PSV9	MDC1_MOUSE	#	#	Histone modification read	#	16377563	#	histone	H2AX	#	#	16377563	Mammalian MDC1/NFBD1 directly binds to phospho-H2AX (gammaH2AX) by specifically interacting with the phosphoepitope at the gammaH2AX carboxyl terminus.
353	MEAF6	#	25674	MYST/Esa1-associated factor 6	64769	Q9HAF1	EAF6_HUMAN	NuA4 PF09340 16-97	Meaf6	1917338	Q2VPQ9	EAF6_MOUSE	#	#	Histone modification write cofactor	Histone acetylation	18794358	"HBO1, NuA4, MOZ/MORF"	histone	"H2A, H3K14, H4K5, H4K8, H4K12"	"H2Aac, H3K14ac, H4K5ac, H4K8ac, H4K12ac"	#	18794358	"BRPF proteins bridge the association of MOZ and MORF with ING5 and EAF6=MEAF6. An N-terminal region of BRPF1 interacts with the acetyltransferases; the enhancer of polycomb (EPc) homology domain in the middle part binds to ING5 and EAF6. The association of BRPF1 with EAF6 is weak, but ING5 increases the affinity. These three proteins form a trimeric core that is conserved from Drosophila melanogaster to humans, although authentic orthologs of MOZ and MORF are absent in invertebrates. Deletion mapping studies revealed that the acetyltransferase domain of MOZ/MORF is sufficient for BRPF1 interaction. At the functional level, complex formation with BRPF1 and ING5 drastically stimulates the activity of the acetyltransferase domain in acetylation of nucleosomal histone H3 and free histones H3 and H4."
354	MECP2	#	6990	methyl CpG binding protein 2	4204	P51608	MECP2_HUMAN	MBD PF01429 90-164	Mecp2	99918	Q9Z2D6	MECP2_MOUSE	#	#	"Histone modification write cofactor, Histone modification write cofactor, TF"	"Histone methylation, Histone acetylation, TF repressor"	10773092	#	DNA	"mCG, DNA motif"	#	#	10773092	"Methyl-CpG-binding protein 2 (MeCP2) contains a transcriptional repression domain (TRD), which can act by recruitment of a large transcriptional co-repressor complex containing histone deacetylases HDAC1 and 2."
355	MEN1	#	7010	multiple endocrine neoplasia I	#	O00255	MEN1_HUMAN	Menin PF05053 1-615	Men1	1316736	O88559	MEN1_MOUSE	#	#	Histone modification write cofactor	Histone methylation	14992727	"Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7"	histone	H3K4	H3K4me	#	"14992727, 15199122"	"Essential component of a MLL/SET1 histone methyltransferase (HMT) complex, a complex that specifically methylates 'Lys-4' of histone H3 (H3K4) (UniProt)."
356	MGA	#	14010	"MGA, MAX dimerization protein"	23269	Q8IWI9	MGAP_HUMAN	"HLH PF00010 2385-2436, Pfam-B_11518 PB011518 378-497, Pfam-B_24878 PB024878 2971-3008, Pfam-B_591 PB000591 979-1080 1332-1376, Pfam-B_7320 PB007320 1791-1938, Pfam-B_80122 PB080122 1-39, Pfam-B_8542 PB008542 653-837, T-box PF00907 76-261"	Mga	1352483	A2AWL7	MGAP_MOUSE	#	#	"Histone modification write cofactor, Histone modification write cofactor, TF, TF"	"Histone methylation, Histone acetylation, TF activator, TF repressor"	#	"RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7"	DNA	DNA motif	#	#	#	Added because it is a complex partner
357	MGEA5	#	7056	meningioma expressed antigen 5 (hyaluronidase)	10724	O60502	NCOAT_HUMAN	"NAGidase PF07555 62-364, Pfam-B_15148 PB015148 851-895"	Mgea5	1932139	Q9EQQ9	NCOAT_MOUSE	#	#	Histone modification write	Histone acetylation	15485860	#	histone	"H3K14, H4K8"	"H3K14ac, H4K8ac"	#	15485860	The HAT domain of NCOAT=MGEA5 has the ability to acetylate all four core histones when either free or bound by DNA in the context of oligonucleosome arrays.
358	MINA	#	19441	MYC induced nuclear antigen	84864	Q8IUF8	MINA_HUMAN	Cupin_4 PF08007 51-364	Mina	1914264	Q8CD15	MINA_MOUSE	#	#	Histone modification erase	Histone methylation	19502796	#	histone	H3K9me3	H3K9	#	19502796	mdig=MINA is involved in demethylation of tri-methyl lysine 9 on histone H3.
359	MLLT1	#	7134	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1"	4298	Q03111	ENL_HUMAN	YEATS PF03366 29-112	Mllt1	1927238	#	#	#	#	Chromatin remodelling cofactor	#	23623499	"SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB"	chromatin	#	#	#	23623499	MLL-ENL (=MLLT1) inhibits polycomb repressive complex 1.
360	MLLT10	#	16063	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10"	8028	P55197	AF10_HUMAN	"PHD_2 PF13831 36-72, Pfam-B_12689 PB012689 541-619, Pfam-B_12729 PB012729 821-879, Pfam-B_4074 PB004074 234-538, Pfam-B_6933 PB006933 721-819, Pfam-B_9291 PB009291 621-719, zf-HC5HC2H_2 PF13832 80-197"	Mllt10	1329038	O54826	AF10_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	20203130	#	histone	H3K79	H3K79me3	#	20203130	"MLLT10 =AF10 plays an important role in Dot1?€?s HMTase activity through either DotCom stability, catalytic activity, or the recruitment of the complex to chromatin."
361	MLLT6	#	7138	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6"	4302	P55198	AF17_HUMAN	"Pfam-B_16181 PB016181 791-1091, Pfam-B_3448 PB003448 551-789, zf-HC5HC2H_2 PF13832 63-180"	Mllt6	1935145	#	#	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	20203130	#	histone	H3K79	H3K79me3	#	20203130	"MLLT6 =AF17, nucleosomes containing monoubiquitinated H2B are a better substrate for DotCom in the generation of trimethylated H3K79. DotCom requires monoubiquitination of H2B for H3K79 trimethylation."
362	MORF4L1	#	16989	mortality factor 4 like 1	10933	Q9UBU8	MO4L1_HUMAN	"MRG PF05712 166-350, Tudor-knot PF11717 11-53"	Morf4l1	1096551	P60762	MO4L1_MOUSE	#	#	Histone modification read	#	21423274	NuA4	histone	H4	#	#	21423274	Table 1 in reference (MRG15 =MORF4L1).
